Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins,Field4
"D1, D2, D3",3,IR_LED,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,,,,tht,,,,
"D4, D5",2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,,,,tht,"100V 0.15A standard switching diode, DO-35",D,1=K 2=A,
J1,1,5v_3Pi,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,CONN-09863
J2,1,GND_3Pi,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,CONN-09863
J5,1,I2C_3Pi,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,CONN-09863
J6,1,3PI_SWTCH,PinHeader_1x02_P2.54mm_Vertical,,,,tht,,,,CONN-09863
J8,1,Conn_01x12_Pin,PinHeader_1x12_P2.54mm_Vertical,,,,tht,,,,
J9,1,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,,,,tht,,,,
PWR1,1,Bttn,SW_PUSH_6mm,,,,tht,,,,
"Q1, Q2",2,2N7000,TO-92_Inline,,,,tht,,,,
Q3,1,BC337,TO-92_Inline,,,,tht,"0.8A Ic, 45V Vce, NPN Transistor, TO-92",,,
"Q4, Q5, Q6",3,TEPT4300,LED_D3.0mm_Clear,,,,tht,"Ambient Light Sensor, NPN Epitaxial Planar Phototransistor, T-1",,,
R1,1,R_3V3_PU_SDA,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,,,
"R10, R3, R4, R5, R6, R7, R8, R9",8,~,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,,,
R2,1,R_3V3_PU_SCL,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,,,
U1,1,StampC3,Stamp-C3,,,,tht,Module M5Stack Stamp-C3,,,
