pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
15.2215,10.9523,-31.0,top,D1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
17.222,62.033,-148.0,top,D2,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
68.568,30.817,90.0,top,D3,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
53.168,59.687,90.0,bottom,D4,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
28.568,59.787,90.0,bottom,D5,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
49.276,40.894,-90.0,top,J1,,,PinHeader_1x02_P2.54mm_Vertical,5v_3Pi,tht
49.276,43.434,-90.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,GND_3Pi,tht
12.4436,12.6683,-31.0,top,J3,,,PinHeader_1x02_P2.54mm_Vertical,~,tht
11.022,61.141,32.0,top,J4,,,PinHeader_1x02_P2.54mm_Vertical,~,tht
46.74,28.198,90.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,I2C_3Pi,tht
20.688,65.007,-90.0,bottom,J6,,,PinHeader_1x02_P2.54mm_Vertical,3PI_SWTCH,tht
71.068,36.447,-90.0,top,J7,,,PinHeader_1x02_P2.54mm_Vertical,~,tht
47.87,50.708,-90.0,top,J8,,,PinHeader_1x12_P2.54mm_Vertical,Conn_01x12_Pin,tht
43.18,20.828,-90.0,top,J9,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10_Pin,tht
20.568,54.687,90.0,top,PWR1,,,SW_PUSH_6mm,Bttn,tht
55.218,35.357,180.0,bottom,Q1,,,TO-92_Inline,2N7000,tht
55.198,30.347,180.0,bottom,Q2,,,TO-92_Inline,2N7000,tht
55.238,40.367,180.0,bottom,Q3,,,TO-92_Inline,BC337,tht
9.768,57.287,-148.0,top,Q4,,,LED_D3.0mm_Clear,TEPT4300,tht
68.568,42.072,-90.0,top,Q5,,,LED_D3.0mm_Clear,TEPT4300,tht
7.4908,15.4952,-31.0,top,Q6,,,LED_D3.0mm_Clear,TEPT4300,tht
37.868,69.797,-90.0,bottom,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,R_3V3_PU_SDA,tht
25.898,5.347,0.0,bottom,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
25.908,11.687,0.0,bottom,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,R_3V3_PU_SCL,tht
41.018,59.617,90.0,bottom,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
44.068,69.767,-90.0,bottom,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
25.908,8.487,0.0,bottom,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
34.768,59.627,90.0,bottom,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
47.158,69.767,-90.0,bottom,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
31.568,59.687,90.0,bottom,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
50.268,69.787,-90.0,bottom,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,tht
25.924,36.403,-90.0,top,U1,,,Stamp-C3,StampC3,tht
